Index,Product Name,Stock,Price,Old Price
46,"Laptop ultraportabil Lenovo IdeaPad 5 15ARE05 cu procesor AMD Ryzen 5 4600U pana la 4.00 GHz 15.6"" Full HD 8GB 512GB SSD AMD Radeon Graphics Free DOS Platinum Grey",în stoc,2.799 lei ,3.199 lei 
47,"Laptop ultraportabil Lenovo ThinkBook 13s-IML cu procesor Intel Core i5-10210U pana la 4.20 GHz 13.3"" Full HD 16GB 512GB SSD Intel UHD Graphics Free DOS Mineral Grey",în stoc,3.999 lei ,4.499 lei 
48,"Laptop ultraportabil ASUS ExpertBook B9450FA cu procesor Intel Core i5-10210U pana la 4.20 GHz 14"" Full HD 16GB 512GB SSD Intel UHD Graphics Windows 10 Home Star Black",în stoc,5.299 lei ,6.099 lei 
49,"Laptop ultraportabil Lenovo ThinkPad E14 cu procesor Intel Core i5-10210U pana la 4.20 GHz 14"" Full HD 16GB 512GB SSD Intel UHD Graphics Windows 10 Pro Black",ultimele 3 produse,4.799 lei ,5.599 lei 
50,"Laptop ultraportabil Dell Inspiron 5402 cu procesor Intel Core i3-1115G4 pana la 4.10 GHz 4GB DDR4 3200MHz 14"" Full HD 256GB SSD Intel UHD Graphics Windows 10 Home S Silver",în stoc,3.199 lei ,4.299 lei 
51,"Laptop ultraportabil IdeaPad 5 15IIL05 cu procesor Intel Core i5-1035G1 pana la 3.60 GHz 15.6"" Full HD 16GB 512GB SSD Intel UHD Graphics Free DOS Platinum Grey",în stoc,3.199 lei ,3.599 lei 
52,"Laptop ultraportabil HP ProBook 440 G8 cu procesor Intel Core i5-1135G7 pana la 4.20 GHz 14"" Full HD 8GB 512GB SSD Intel Iris X Graphics Windows 10 Pro Silver",ultimul produs in stoc,4.499 lei ,5.399 lei 
53,Laptop Apple MacBook Air 13 (2020) ecran Retina procesor Intel Core i5 1.1GHz 8GB 512GB SSD Intel Iris Plus Graphics Silver INT KB,ultimele 2 produse,6.299 lei ,9.374 lei 
54,"Laptop ultraportabil HP Pavilion 14-ce3001nq cu procesor Intel Core i3-1005G1 pana la 3.40 GHz Ice Lake 14"" HD 4GB 256GB SSD Intel UHD Graphics Windows 10 Home Mineral Silver",în stoc,2.799 lei ,3.499 lei 
55,Laptop Apple MacBook Air 13-inch True Tone procesor Apple M1  8 nuclee CPU si 8 nuclee GPU 8GB 512GB Gold INT KB,în stoc,6.399 lei ,6.899 lei 
56,Laptop Apple MacBook Air 13-inch True Tone procesor Apple M1  8 nuclee CPU si 8 nuclee GPU 8GB 512GB Gold ROM KB,ultimele 2 produse,6.499 lei ,6.899 lei 
57,"Laptop ultraportabil HP EliteBook 840 G7 cu procesor Intel Core i7-10510U pana la 4.90 GHz 14""Full HD 8GB 256GB SSD Intel UHD Graphics Windows 10 Pro Silver",ultimele 2 produse,6.199 lei ,7.499 lei 
58,Laptop Apple MacBook Air 13 (2020) ecran Retina procesor Intel Core i3 1.1GHz 8GB 256GB SSD Intel Iris Plus Graphics Space Grey INT KB,ultimele 3 produse,5.249 lei ,6.099 lei 
59,"Laptop ultraportabil Lenovo IdeaPad 3 14IIL05 cu procesor Intel Core i3-1005G1 pana la 3.40 GHz 14"" Full HD 4GB 128GB SSD Intel UHD Graphics Windows 10 Home S Iron Grey",în stoc,2.199 lei ,2.899 lei 
60,"Laptop ultraportabil DELL Inspiron 5402 cu procesor Intel Core i3-1115G4 pana la 4.10 GHz 14"" Full HD 4GB 256GB SSD Intel UHD Graphics Windows 10 Pro Platinum Silver",ultimele 3 produse,3.449 lei ,3.999 lei 
